PART_ID,TOUCHDOWN,X_COORD,Y_COORD,SITE,DEVICE_PF,DEVICE_PF_INT,BANDGAP_VOLTAGE,BANDGAP_VOLTAGE_PF,OFFSET_VOLTAGE,OFFSET_VOLTAGE_PF,PIN1_LEAKAGE,PIN1_LEAKAGE_PF,PIN2_LEAKAGE,PIN2_LEAKAGE_PF,PLL_FREQ,PLL_FREQ_PF,PROP_DELAY,PROP_DELAY_PF,SUPPLY_CURRENT,SUPPLY_CURRENT_PF
1,1,1,22,S1,PASS,1,1.201481158177691,P,-1.1150501378847617,P,0.7485006508732996,P,0.8080221922119721,P,20.021790062365334,P,16.981934265788336,P,11.532521032884835,P
2,1,1,23,S2,PASS,1,1.1958776554720265,P,-0.5021563956491623,P,1.1753407922270376,P,1.3456032062858425,P,20.006345357171806,P,17.061246662507195,P,11.576984700958697,P
3,1,1,24,S3,FAIL,0,1.1983928493898912,P,0.2661057234847856,P,1.1941107927705028,P,1.128921864287286,P,20.754527972605892,F,17.09517573013802,P,13.064482093162013,P
4,1,1,25,S4,FAIL,0,1.201395314747655,P,-1.233093473477263,P,1.0356661233883697,P,0.9022306552606598,P,20.21428957988947,P,16.974875916359487,P,9.096632403389446,F
5,2,1,26,S1,PASS,1,1.2028546936866458,P,1.3362398562972777,P,1.047829900826156,P,0.863207612539662,P,20.083163602431714,P,17.16066266010548,P,13.61689037495409,P
6,2,1,27,S2,PASS,1,1.1971873800739246,P,-0.3996366922490538,P,1.0524258291696533,P,1.116661548619361,P,20.310135846275372,P,16.775819194213714,P,13.425509885809952,P
7,2,1,28,S3,PASS,1,1.217109073160771,P,0.5385031716528487,P,1.2230895737222895,P,1.0383839586111778,P,20.437724216633942,P,17.24652866741125,P,11.33524488122705,P
8,2,2,18,S4,PASS,1,1.1910904538625045,P,-0.5370195236700317,P,1.1307654342727167,P,1.1122058977658413,P,19.777587005067623,P,17.430815467794368,P,12.030027763462286,P
9,3,2,19,S1,PASS,1,1.1972935366206254,P,0.2512879035400134,P,0.9022171850841544,P,0.9881403685021726,P,19.995859443678945,P,17.230809860327344,P,11.549992238188455,P
10,3,2,20,S2,PASS,1,1.202222437183075,P,1.1875344904754745,P,1.0513670451482846,P,1.0068512510663243,P,19.637295645187884,P,17.230162155625365,P,12.205633135435733,P
11,3,2,21,S3,FAIL,0,1.2025181359710997,P,0.521731326395061,P,1.0109772993259412,P,0.8272152189908668,P,20.54070437865952,F,17.086123343909744,P,11.539973820932728,P
12,3,2,22,S4,PASS,1,1.2070792608730596,P,-0.18605869406645736,P,0.9423155316451635,P,1.1046867090990915,P,20.10637480860492,P,16.81013907678576,P,11.826587008765658,P
13,4,2,23,S1,PASS,1,1.2049398983150692,P,0.9477969492477568,P,0.9721571998540737,P,1.1363583418955576,P,19.796595307358153,P,16.854301141072646,P,11.783345155621614,P
14,4,2,24,S2,PASS,1,1.2147100166897151,P,0.7367578496153917,P,0.9246475562199019,P,1.0375615084802394,P,19.630389891533902,P,17.03394387829273,P,11.74006516479311,P
15,4,2,25,S3,FAIL,0,1.1941738053092343,P,0.9732006309412577,P,0.9717549088717207,P,0.92327446076254,P,20.53450981470154,F,16.585409279475716,P,12.56629343096739,P
16,4,2,26,S4,PASS,1,1.2206581949253017,P,-1.5066102441657452,P,0.9969221789264269,P,1.0700687800326025,P,20.157240306636304,P,16.9768226997705,P,12.99052247128985,P
17,5,2,27,S1,PASS,1,1.2108783388695712,P,0.1770335818692339,P,1.0694461331393774,P,0.9683859930674875,P,19.985705994059174,P,17.03146754472593,P,11.405236698132796,P
18,5,2,28,S2,PASS,1,1.208051890399778,P,1.45327620367601,P,1.0924360969698614,P,1.0193236732314792,P,20.167269754123534,P,17.177644310012383,P,12.343462978410638,P
19,5,2,29,S3,FAIL,0,1.1841211516067522,P,1.3943071800613094,P,1.0825496984856788,P,1.2305662360924783,P,20.460354222198895,P,17.03603331399816,P,9.410677469433418,F
20,5,2,30,S4,PASS,1,1.2123088549966143,P,-0.04838222994324906,P,1.0453074305499985,P,1.0352206728125264,P,19.981545487141478,P,17.105994465124184,P,11.983497681251583,P
21,6,2,31,S1,PASS,1,1.1762654662137655,P,-0.4716382784876018,P,1.1497378017861706,P,0.9656755677516077,P,20.174145175732505,P,17.038394582093098,P,11.933909307166008,P
22,6,2,32,S2,PASS,1,1.1996888902987985,P,-0.657623674122563,P,1.0760274859095589,P,1.104317285266405,P,19.83216150403098,P,17.35791730314154,P,11.871634295810294,P
23,6,3,15,S3,PASS,1,1.1829015456879395,P,0.30239944012687403,P,1.134307645120632,P,1.0008055559878941,P,20.31517955789677,P,17.168440420579643,P,10.526343515486007,P
24,6,3,16,S4,PASS,1,1.1841633092957151,P,-0.8188689442544247,P,1.133899723733554,P,1.0311867163538224,P,19.512589373621623,P,16.94651903584005,P,11.402803510885596,P
25,7,3,17,S1,FAIL,0,1.1889951025224819,P,-0.7663811834583129,P,0.9998702484484833,P,1.0541312167447077,P,19.682381898741806,P,17.295022894459628,P,15.020495952573633,F
26,7,3,18,S2,PASS,1,1.1884274245911597,P,-0.16085652052232285,P,1.0731487349581417,P,1.0267011014156746,P,19.814397899874436,P,17.498798223858206,P,11.673892834006692,P
27,7,3,19,S3,PASS,1,1.2180804486051615,P,0.24313843798642104,P,1.0410962551129224,P,1.1424661688128426,P,20.38936669593462,P,17.057335401876216,P,11.427968845159292,P
28,7,3,20,S4,PASS,1,1.1888882138892523,P,-0.1908537603856567,P,0.9554201995085866,P,0.948492713401078,P,19.957489841606705,P,16.869440167107136,P,11.185022837612328,P
29,8,3,21,S1,PASS,1,1.2087041534789666,P,0.4477428999875963,P,1.1550264549620188,P,1.0474190242255972,P,19.85330203323332,P,17.36268205856401,P,12.599644283650317,P
30,8,3,22,S2,PASS,1,1.2074897283196262,P,-1.1031000724589681,P,0.9727779493745026,P,1.0264238385286135,P,20.074145785082667,P,16.846196564366057,P,11.62736684858338,P
31,8,3,23,S3,FAIL,0,1.2070953256784924,P,1.0958489442656711,P,0.8050120179625712,P,1.1636911631484446,P,20.706180519233293,F,16.921141693981077,P,12.437697380758163,P
32,8,3,24,S4,PASS,1,1.2031614942712001,P,-1.4499536008597131,P,0.9697428919463928,P,1.2322704151696646,P,20.06079866724842,P,17.426375960322243,P,12.514107975635232,P
33,9,3,25,S1,PASS,1,1.1922178575483533,P,0.10534176205500063,P,1.133764397338473,P,0.9554989014971516,P,20.11461936287546,P,16.860900935058865,P,12.758193569233336,P
34,9,3,26,S2,PASS,1,1.1946403840741926,P,1.4081637956196038,P,0.8777453696894733,P,1.0017814556520153,P,19.75628244709501,P,17.180544308815502,P,12.404487863800012,P
35,9,3,27,S3,PASS,1,1.188261677790254,P,-0.4232689382498449,P,0.9730475761379416,P,0.953543728971825,P,20.34570582092615,P,16.887815512770484,P,10.115814444903808,P
36,9,3,28,S4,PASS,1,1.1906520379600567,P,0.7825033233784303,P,1.1891342936712799,P,1.0034433539356296,P,19.929498159820202,P,17.24069014969208,P,12.364433197795085,P
37,10,3,29,S1,FAIL,0,1.1889996035204198,P,-0.848818102883265,P,0.9955503251452585,P,0.9975250760331071,P,20.687489789168445,F,17.24621494884105,P,12.38476065644631,P
38,10,3,30,S2,PASS,1,1.1997200618720563,P,-1.0941552178415168,P,0.893498186981188,P,0.9699457434015504,P,20.071540107901416,P,17.263125868917335,P,12.813037303696108,P
39,10,3,31,S3,FAIL,0,1.1935937791500695,P,-1.474090889942829,P,0.8606892435088024,P,0.934413072868389,P,20.54492677227964,F,17.325829563645875,P,12.580123784741659,P
40,10,3,32,S4,PASS,1,1.2042423064353125,P,-0.41437035826412283,P,0.9674955797101656,P,0.9897274967876482,P,20.063463910642742,P,17.14903915105553,P,11.394108366156038,P
41,11,3,33,S1,PASS,1,1.2116286277306139,P,1.3019294560830152,P,1.1205382447404268,P,0.8343249539884009,P,19.957549645293383,P,16.581155687724248,P,12.229287079116483,P
42,11,3,34,S2,PASS,1,1.2246437226544566,P,0.2580067371879244,P,1.0759444349880274,P,1.1927662694778234,P,19.937285159141318,P,17.06409450726792,P,10.631840869363463,P
43,11,3,35,S3,FAIL,0,1.1986335067872442,P,0.5588285672369547,P,1.1491621402601966,P,0.9924546441148308,P,20.825947148562076,F,17.20414496308773,P,13.774748527908292,P
44,11,4,13,S4,PASS,1,1.2088514958674956,P,0.10531248530942956,P,1.0749783308035705,P,0.9696905891188146,P,19.891225943080208,P,16.64972143293267,P,11.756756127400589,P
45,12,4,14,S1,PASS,1,1.1977424201569797,P,-0.32115272848172793,P,1.0569434942969123,P,0.8509749458648452,P,20.37365139313333,P,17.26743420778922,P,14.183283042469206,P
46,12,4,15,S2,PASS,1,1.1999318952087183,P,1.0466874855391786,P,0.7788408403401953,P,0.9037624139974192,P,20.35386999183413,P,17.037978196562513,P,10.59146267021385,P
47,12,4,16,S3,PASS,1,1.2000989442499708,P,-0.7450697672138323,P,1.1988971605609626,P,0.9137962289440121,P,20.41001196705821,P,17.072865177177082,P,11.596073690812762,P
48,12,4,17,S4,PASS,1,1.1992765085497963,P,-0.4655388311944025,P,0.9813075564965423,P,0.693899191898013,P,19.73205187701305,P,17.498292462569733,P,13.029995337163971,P
49,13,4,18,S1,PASS,1,1.1873624742036804,P,-0.9111425167922382,P,1.075784044886173,P,1.024909788132783,P,20.189688088107367,P,17.282638802635635,P,11.155081170948966,P
50,13,4,19,S2,PASS,1,1.1851276228142966,P,-0.4192832970818133,P,0.8190972517725147,P,0.7788792528483269,P,20.30556710061666,P,16.931574552578546,P,10.523608644164572,P
51,13,4,20,S3,PASS,1,1.1857583965223983,P,0.8989470165335816,P,1.1076291153976232,P,1.0168143473518794,P,20.448612947877354,P,17.156027108375905,P,12.058840450754289,P
52,13,4,21,S4,PASS,1,1.1899396559981752,P,0.4276577450348256,P,0.9819855557729205,P,0.9930186014487711,P,19.72102291240271,P,17.126935029147504,P,13.993225256019677,P
53,14,4,22,S1,PASS,1,1.184034504939694,P,0.16021116307395722,P,0.9914335410330437,P,1.1525352627645784,P,20.01654485676824,P,17.000734964011112,P,12.435233881007118,P
54,14,4,23,S2,PASS,1,1.2015543267543458,P,0.3840754654866338,P,0.9874397644137313,P,0.9745244742534861,P,19.947961444573266,P,16.758069926137857,P,12.585581409699493,P
55,14,4,24,S3,FAIL,0,1.2257948815624287,F,1.042157449451944,P,0.8971258220436715,P,0.8740331128334188,P,20.588961471378656,F,16.914853310326762,P,11.333482691632797,P
56,14,4,25,S4,PASS,1,1.1957044327938937,P,-0.33766848799311466,P,1.0820498452041478,P,0.9203424370199713,P,20.1774595807225,P,16.58342101783628,P,12.005426222137805,P
57,15,4,26,S1,FAIL,0,1.1719902754705616,F,0.3813065127617663,P,1.1364950517334886,P,1.0332379072183246,P,19.739476460433888,P,16.937788880834475,P,10.279345102799107,P
58,15,4,27,S2,PASS,1,1.200192195820092,P,0.4105252669749721,P,0.9046433827199818,P,1.1165258049537465,P,19.966634865039577,P,17.12009389471564,P,13.670237967246395,P
59,15,4,28,S3,PASS,1,1.1870885483279632,P,-0.146223203841396,P,0.960600358217747,P,0.8710222030468167,P,20.158835674890856,P,17.306453287761432,P,11.79486227378017,P
60,15,4,29,S4,PASS,1,1.2074490530761104,P,-0.6374694606446529,P,0.9965048427417486,P,1.091777892606225,P,19.955926250462216,P,17.371818528145482,P,11.954399334188325,P
61,16,4,30,S1,PASS,1,1.2004813558905159,P,-1.1451674973791757,P,1.1001318983640334,P,1.1328684082060623,P,20.109255251369326,P,17.14851295949701,P,11.376724655454499,P
62,16,4,31,S2,PASS,1,1.1861186123620648,P,-1.0973905720471675,P,0.837291188287366,P,0.8453327729112514,P,20.164001742037847,P,17.25497772653696,P,12.368245539161261,P
63,16,4,32,S3,FAIL,0,1.207255734738439,P,-0.4020491749681152,P,0.9870031108456679,P,0.7922134025286126,P,20.439274091415047,P,17.618505079255304,F,14.102992921229816,P
